date,upro_equity_rebased_usd,futures_equity_rebased_usd,upro_simple_ret,futures_simple_ret,log_ret_diff_fut_minus_upro
2010-11-08,1583588.771316,1711665.531366,-0.00382496,-0.00611425,-0.00230072
2010-11-09,1546140.170777,1670692.420552,-0.02364793,-0.02393757,-0.00029670
2010-11-10,1563542.171934,1693300.912915,0.01125513,0.01353241,0.00224941
2010-11-11,1548278.733067,1672031.438707,-0.00976209,-0.01256095,-0.00283046
2010-11-12,1490505.329556,1612163.525809,-0.03731460,-0.03580549,0.00156637
2010-11-15,1486317.630391,1606769.018610,-0.00280958,-0.00334613,-0.00053820
2010-11-16,1414672.291515,1528502.124529,-0.04820325,-0.04871073,-0.00053333
2010-11-17,1417704.887837,1529868.724217,0.00214367,0.00089408,-0.00124770
2010-11-18,1480577.694205,1600805.760445,0.04434830,0.04636805,0.00193211
2010-11-19,1490990.946045,1612957.556091,0.00703324,0.00759105,0.00055376
2010-11-22,1486799.465837,1605963.584228,-0.00281120,-0.00433612,-0.00153038
2010-11-23,1424121.456496,1539615.457753,-0.04215633,-0.04131359,0.00087944
2010-11-24,1479213.534534,1608453.794138,0.03868496,0.04471138,0.00578521
2010-11-26,1454046.258404,1573896.877847,-0.01701396,-0.02148456,-0.00455835
2010-11-29,1449688.565412,1567902.751317,-0.00299694,-0.00380846,-0.00081429
2010-11-30,1419466.362007,1540040.182672,-0.02084738,-0.01777060,0.00313736
2010-12-01,1515401.508313,1639992.250550,0.06758536,0.06490225,-0.00251642
2010-12-02,1574455.332442,1703657.046949,0.03896909,0.03882018,-0.00014334
2010-12-03,1586127.335357,1717108.846410,0.00741336,0.00789584,0.00047881
2010-12-06,1580068.209661,1710992.173627,-0.00382008,-0.00356219,0.00025884
2010-12-07,1581627.248051,1713941.593241,0.00098669,0.00172381,0.00073612
2010-12-08,1600946.376711,1732936.589095,0.01221472,0.01108264,-0.00111904
2010-12-09,1618712.681950,1753100.631030,0.01109738,0.01163576,0.00053234
2010-12-10,1647776.125918,1784950.014911,0.01795467,0.01816746,0.00020902
2010-12-13,1650245.625015,1784490.979799,0.00149869,-0.00025717,-0.00175477
2010-12-14,1652723.154678,1789672.758581,0.00150131,0.00290379,0.00139939
2010-12-15,1630826.854343,1763119.366755,-0.01324862,-0.01483701,-0.00161101
2010-12-16,1659162.413952,1796007.611796,0.01737497,0.01865344,0.00125585
2010-12-17,1666006.830801,1800918.067694,0.00412522,0.00273410,-0.00138637
2010-12-20,1676371.791361,1814794.118231,0.00622144,0.00770499,0.00147329
2010-12-21,1706988.917455,1847932.844108,0.01826392,0.01826032,-0.00000354
2010-12-22,1725521.395975,1867043.930433,0.01085682,0.01034187,-0.00050955
