date,close,name,source
1985-04-19,118.02,NDX,nasdaq-giw(close)
1985-04-22,117,NDX,nasdaq-giw(close)
1985-04-23,117.66,NDX,nasdaq-giw(close)
1985-04-24,117.64,NDX,nasdaq-giw(close)
1985-04-25,118.16,NDX,nasdaq-giw(close)
1985-04-26,117.84,NDX,nasdaq-giw(close)
1985-04-29,116.23,NDX,nasdaq-giw(close)
1985-04-30,115.38,NDX,nasdaq-giw(close)
1985-05-01,114.83,NDX,nasdaq-giw(close)
1985-05-02,114.36,NDX,nasdaq-giw(close)
1985-05-03,115.29,NDX,nasdaq-giw(close)
1985-05-06,114.45,NDX,nasdaq-giw(close)
1985-05-07,114.97,NDX,nasdaq-giw(close)
1985-05-08,115.08,NDX,nasdaq-giw(close)
1985-05-09,116.54,NDX,nasdaq-giw(close)
1985-05-10,119.75,NDX,nasdaq-giw(close)
1985-05-13,120.17,NDX,nasdaq-giw(close)
1985-05-14,119.56,NDX,nasdaq-giw(close)
1985-05-15,119.83,NDX,nasdaq-giw(close)
1985-05-16,120.59,NDX,nasdaq-giw(close)
1985-05-17,121.66,NDX,nasdaq-giw(close)
1985-05-20,123.36,NDX,nasdaq-giw(close)
1985-05-21,122.81,NDX,nasdaq-giw(close)
1985-05-22,122.27,NDX,nasdaq-giw(close)
1985-05-23,121.3,NDX,nasdaq-giw(close)
1985-05-24,121.05,NDX,nasdaq-giw(close)
1985-05-28,119.56,NDX,nasdaq-giw(close)
1985-05-29,119.59,NDX,nasdaq-giw(close)
1985-05-30,118.72,NDX,nasdaq-giw(close)
1985-05-31,119.64,NDX,nasdaq-giw(close)
1985-06-03,119.78,NDX,nasdaq-giw(close)
1985-06-04,120.1,NDX,nasdaq-giw(close)
1985-06-05,119.75,NDX,nasdaq-giw(close)
1985-06-06,119.88,NDX,nasdaq-giw(close)
1985-06-07,119.16,NDX,nasdaq-giw(close)
1985-06-10,119.05,NDX,nasdaq-giw(close)
1985-06-11,118.34,NDX,nasdaq-giw(close)
1985-06-12,116.75,NDX,nasdaq-giw(close)
1985-06-13,114.61,NDX,nasdaq-giw(close)
1985-06-14,115.45,NDX,nasdaq-giw(close)
1985-06-17,114.76,NDX,nasdaq-giw(close)
1985-06-18,114.92,NDX,nasdaq-giw(close)
1985-06-19,115.14,NDX,nasdaq-giw(close)
1985-06-20,114.56,NDX,nasdaq-giw(close)
1985-06-21,115.8,NDX,nasdaq-giw(close)
1985-06-24,117.3,NDX,nasdaq-giw(close)
1985-06-25,119.64,NDX,nasdaq-giw(close)
1985-06-26,120.95,NDX,nasdaq-giw(close)
1985-06-27,122.14,NDX,nasdaq-giw(close)
1985-06-28,122.14,NDX,nasdaq-giw(close)
1985-07-01,122.42,NDX,nasdaq-giw(close)
1985-07-02,121.79,NDX,nasdaq-giw(close)
1985-07-03,121.28,NDX,nasdaq-giw(close)
1985-07-05,121.76,NDX,nasdaq-giw(close)
1985-07-08,120.86,NDX,nasdaq-giw(close)
1985-07-09,120.31,NDX,nasdaq-giw(close)
1985-07-10,120.86,NDX,nasdaq-giw(close)
1985-07-11,121.9,NDX,nasdaq-giw(close)
1985-07-12,122.84,NDX,nasdaq-giw(close)
1985-07-15,123.33,NDX,nasdaq-giw(close)
1985-07-16,124.73,NDX,nasdaq-giw(close)
1985-07-17,126.61,NDX,nasdaq-giw(close)
1985-07-18,125.31,NDX,nasdaq-giw(close)
1985-07-19,125.87,NDX,nasdaq-giw(close)
1985-07-22,125.47,NDX,nasdaq-giw(close)
1985-07-23,125.89,NDX,nasdaq-giw(close)
1985-07-24,125.11,NDX,nasdaq-giw(close)
1985-07-25,125.78,NDX,nasdaq-giw(close)
1985-07-26,125.5,NDX,nasdaq-giw(close)
1985-07-29,123.09,NDX,nasdaq-giw(close)
1985-07-30,123.11,NDX,nasdaq-giw(close)
1985-07-31,123.27,NDX,nasdaq-giw(close)
1985-08-01,124.55,NDX,nasdaq-giw(close)
1985-08-02,124.45,NDX,nasdaq-giw(close)
1985-08-05,123.28,NDX,nasdaq-giw(close)
1985-08-06,122.27,NDX,nasdaq-giw(close)
1985-08-07,121.17,NDX,nasdaq-giw(close)
1985-08-08,121.46,NDX,nasdaq-giw(close)
1985-08-09,121.72,NDX,nasdaq-giw(close)
1985-08-12,121.16,NDX,nasdaq-giw(close)
1985-08-13,119.91,NDX,nasdaq-giw(close)
1985-08-14,120.06,NDX,nasdaq-giw(close)
1985-08-15,119.73,NDX,nasdaq-giw(close)
1985-08-16,118.81,NDX,nasdaq-giw(close)
1985-08-19,118.29,NDX,nasdaq-giw(close)
1985-08-20,119.55,NDX,nasdaq-giw(close)
1985-08-21,120.38,NDX,nasdaq-giw(close)
1985-08-22,119.52,NDX,nasdaq-giw(close)
1985-08-23,119.17,NDX,nasdaq-giw(close)
1985-08-26,119.04,NDX,nasdaq-giw(close)
1985-08-27,117.92,NDX,nasdaq-giw(close)
1985-08-28,118.45,NDX,nasdaq-giw(close)
1985-08-29,118.24,NDX,nasdaq-giw(close)
1985-08-30,118.3,NDX,nasdaq-giw(close)
1985-09-03,117.57,NDX,nasdaq-giw(close)
1985-09-04,116.83,NDX,nasdaq-giw(close)
1985-09-05,116.53,NDX,nasdaq-giw(close)
1985-09-06,117.19,NDX,nasdaq-giw(close)
1985-09-09,117.47,NDX,nasdaq-giw(close)
1985-09-10,116.56,NDX,nasdaq-giw(close)
1985-09-11,115.22,NDX,nasdaq-giw(close)
1985-09-12,115.33,NDX,nasdaq-giw(close)
1985-09-13,114.19,NDX,nasdaq-giw(close)
1985-09-16,113.33,NDX,nasdaq-giw(close)
1985-09-17,111,NDX,nasdaq-giw(close)
1985-09-18,111.73,NDX,nasdaq-giw(close)
1985-09-19,113.69,NDX,nasdaq-giw(close)
1985-09-20,114.01,NDX,nasdaq-giw(close)
1985-09-23,115.07,NDX,nasdaq-giw(close)
1985-09-24,112.81,NDX,nasdaq-giw(close)
1985-09-25,111.17,NDX,nasdaq-giw(close)
1985-09-26,110.89,NDX,nasdaq-giw(close)
1985-09-27,111.13,NDX,nasdaq-giw(close)
1985-09-30,110.62,NDX,nasdaq-giw(close)
1985-10-01,112.14,NDX,nasdaq-giw(close)
1985-10-02,110.84,NDX,nasdaq-giw(close)
1985-10-03,110.87,NDX,nasdaq-giw(close)
1985-10-04,110.08,NDX,nasdaq-giw(close)
1985-10-07,108.2,NDX,nasdaq-giw(close)
1985-10-08,107.16,NDX,nasdaq-giw(close)
1985-10-09,108.63,NDX,nasdaq-giw(close)
1985-10-10,109.44,NDX,nasdaq-giw(close)
1985-10-11,111.05,NDX,nasdaq-giw(close)
1985-10-14,113.19,NDX,nasdaq-giw(close)
1985-10-15,113.38,NDX,nasdaq-giw(close)
1985-10-16,114.31,NDX,nasdaq-giw(close)
1985-10-17,114.74,NDX,nasdaq-giw(close)
1985-10-18,114.32,NDX,nasdaq-giw(close)
1985-10-21,113.68,NDX,nasdaq-giw(close)
1985-10-22,114.44,NDX,nasdaq-giw(close)
1985-10-23,115.06,NDX,nasdaq-giw(close)
1985-10-24,115.48,NDX,nasdaq-giw(close)
1985-10-25,113.91,NDX,nasdaq-giw(close)
1985-10-28,113.82,NDX,nasdaq-giw(close)
