date,adj_close,name,source
2015-07-29,7.96271,SSO,tiingo
2015-07-30,7.96743,SSO,tiingo
2015-07-31,7.94381,SSO,tiingo
2015-08-03,7.88711,SSO,tiingo
2015-08-04,7.85403,SSO,tiingo
2015-08-05,7.91428,SSO,tiingo
2015-08-06,7.79261,SSO,tiingo
2015-08-07,7.75363,SSO,tiingo
2015-08-10,7.94499,SSO,tiingo
2015-08-11,7.79733,SSO,tiingo
2015-08-12,7.81505,SSO,tiingo
2015-08-13,7.7997,SSO,tiingo
2015-08-14,7.85403,SSO,tiingo
2015-08-17,7.94381,SSO,tiingo
2015-08-18,7.89538,SSO,tiingo
2015-08-19,7.77017,SSO,tiingo
2015-08-20,7.44769,SSO,tiingo
2015-08-21,6.98346,SSO,tiingo
2015-08-24,6.40584,SSO,tiingo
2015-08-25,6.25228,SSO,tiingo
2015-08-26,6.73658,SSO,tiingo
2015-08-27,7.06379,SSO,tiingo
2015-08-28,7.06261,SSO,tiingo
2015-08-31,6.95275,SSO,tiingo
2015-09-01,6.53105,SSO,tiingo
2015-09-02,6.78383,SSO,tiingo
2015-09-03,6.79446,SSO,tiingo
2015-09-04,6.58893,SSO,tiingo
2015-09-08,6.92558,SSO,tiingo
2015-09-09,6.73304,SSO,tiingo
2015-09-10,6.8051,SSO,tiingo
2015-09-11,6.86534,SSO,tiingo
2015-09-14,6.81573,SSO,tiingo
2015-09-15,6.98582,SSO,tiingo
2015-09-16,7.11104,SSO,tiingo
2015-09-17,7.0756,SSO,tiingo
2015-09-18,6.84644,SSO,tiingo
2015-09-21,6.91141,SSO,tiingo
2015-09-22,6.73777,SSO,tiingo
2015-09-23,6.70823,SSO,tiingo
2015-09-24,6.67044,SSO,tiingo
2015-09-25,6.66099,SSO,tiingo
2015-09-28,6.32433,SSO,tiingo
2015-09-29,6.3326,SSO,tiingo
2015-09-30,6.57357,SSO,tiingo
2015-10-01,6.60547,SSO,tiingo
2015-10-02,6.80155,SSO,tiingo
2015-10-05,7.04134,SSO,tiingo
2015-10-06,6.99291,SSO,tiingo
2015-10-07,7.10749,SSO,tiingo
2015-10-08,7.23625,SSO,tiingo
2015-10-09,7.24333,SSO,tiingo
2015-10-12,7.25633,SSO,tiingo
2015-10-13,7.16774,SSO,tiingo
2015-10-14,7.09214,SSO,tiingo
2015-10-15,7.31421,SSO,tiingo
2015-10-16,7.37327,SSO,tiingo
2015-10-19,7.38154,SSO,tiingo
2015-10-20,7.365,SSO,tiingo
2015-10-21,7.27995,SSO,tiingo
2015-10-22,7.5162,SSO,tiingo
2015-10-23,7.68984,SSO,tiingo
2015-10-26,7.65204,SSO,tiingo
2015-10-27,7.61779,SSO,tiingo
2015-10-28,7.79143,SSO,tiingo
2015-10-29,7.78552,SSO,tiingo
2015-10-30,7.71347,SSO,tiingo
2015-11-02,7.89301,SSO,tiingo
2015-11-03,7.94026,SSO,tiingo
2015-11-04,7.89538,SSO,tiingo
2015-11-05,7.87766,SSO,tiingo
2015-11-06,7.87175,SSO,tiingo
2015-11-09,7.72528,SSO,tiingo
2015-11-10,7.75127,SSO,tiingo
2015-11-11,7.69693,SSO,tiingo
2015-11-12,7.48313,SSO,tiingo
